date,description,price
2020-01-01,crude oil,61.17
2020-01-02,crude oil,61.17
2020-01-03,crude oil,63.00
2020-01-04,crude oil,
2020-01-05,crude oil,
2020-01-06,crude oil,63.27
2020-01-07,crude oil,62.70
2020-01-08,crude oil,59.65
2020-01-09,crude oil,59.56
2020-01-10,crude oil,59.02
2020-01-11,crude oil,
2020-01-12,crude oil,
2020-01-13,crude oil,58.17
2020-01-14,crude oil,58.34
2020-01-15,crude oil,57.86
2020-01-16,crude oil,58.52
2020-01-17,crude oil,58.55
2020-01-18,crude oil,
2020-01-19,crude oil,
2020-01-20,crude oil,
2020-01-21,crude oil,58.25
2020-01-22,crude oil,56.76
2020-01-23,crude oil,55.51
2020-01-24,crude oil,54.09
2020-01-25,crude oil,
2020-01-26,crude oil,
2020-01-27,crude oil,53.09
2020-01-28,crude oil,53.33
2020-01-29,crude oil,53.29
2020-01-30,crude oil,52.19
2020-01-31,crude oil,51.58
2020-02-01,crude oil,
2020-02-02,crude oil,
2020-02-03,crude oil,50.06
2020-02-04,crude oil,49.59
2020-02-05,crude oil,50.87
2020-02-06,crude oil,50.94
2020-02-07,crude oil,50.34
2020-02-08,crude oil,
2020-02-09,crude oil,
2020-02-10,crude oil,49.59
2020-02-11,crude oil,50.00
2020-02-12,crude oil,51.13
2020-02-13,crude oil,51.41
2020-02-14,crude oil,52.03
2020-02-15,crude oil,
2020-02-16,crude oil,
2020-02-17,crude oil,
2020-02-18,crude oil,52.10
2020-02-19,crude oil,53.31
2020-02-20,crude oil,53.77
2020-02-21,crude oil,53.36
2020-02-22,crude oil,
2020-02-23,crude oil,
2020-02-24,crude oil,51.36
2020-02-25,crude oil,49.78
2020-02-26,crude oil,48.67
2020-02-27,crude oil,47.17
2020-02-28,crude oil,44.83
2020-02-29,crude oil,
2020-03-01,crude oil,
2020-03-02,crude oil,46.78
2020-03-03,crude oil,47.27
2020-03-04,crude oil,46.78
2020-03-05,crude oil,45.90
2020-03-06,crude oil,41.14
2020-03-07,crude oil,
2020-03-08,crude oil,
2020-03-09,crude oil,31.05
2020-03-10,crude oil,34.47
2020-03-11,crude oil,33.13
2020-03-12,crude oil,31.56
2020-03-13,crude oil,31.72
2020-03-14,crude oil,
2020-03-15,crude oil,
2020-03-16,crude oil,28.96
2020-03-17,crude oil,26.96
